"","lp100km","cylinders","displacement","horsepower","weight","acceleration","year","origin","name"
"52",8.71,4,1.835351168,88,1197.4838568,18.6,82,1,"chevrolet cavalier wagon"
"53",8.11,4,1.589545208,78,879.9691978,14.5,77,2,"volkswagen rabbit custom"
"54",12.12,8,5.211086352,140,1694.16750195,13.2,78,1,"dodge diplomat"
"55",15.68,6,4.096766,72,1556.72901384,21,75,1,"mercury monarch"
"56",7.84,4,1.605932272,68,977.49155735,16.5,78,1,"chevrolet chevette"
"57",15.18,8,5.7354724,170,1889.21222105,11.4,77,1,"chevrolet monte carlo landau"
"58",8.11,4,1.47483576,70,878.60842069,14,75,2,"volkswagen rabbit"
"59",14.7,8,5.751859464,149,1966.32292395,14.5,77,1,"ford thunderbird"
"60",8.11,4,1.47483576,70,878.60842069,14.2,76,2,"vw rabbit"
"61",9.88,4,2.474446664,85,1295.00621635,17.6,78,1,"oldsmobile starfire sx"
"62",11.15,4,2.195866576,95,1140.78481055,14.8,78,3,"toyota celica gt liftback"
"63",7.97,4,1.589545208,71,827.80607525,12.2,76,2,"volkswagen rabbit"
"64",7.15,4,1.950060616,100,1186.14404755,14.8,81,3,"datsun 200sx"
"65",7.35,4,2.21225364,84,1040.99448915,11.6,82,1,"dodge rampage"
"66",9.05,4,1.589545208,75,1027.38671805,18.2,77,3,"toyota corolla liftback"
"67",16.8,8,7.439727056,220,1974.94117898,9,70,1,"chevrolet impala"
"68",13.07,6,4.096766,88,1370.30254977,16.5,73,1,"ford maverick"
"69",12.92,8,5.211086352,135,1737.2587771,15.2,79,1,"dodge st. regis"
"70",8.17,6,2.834962072,115,1177.07220015,11.3,79,1,"chevrolet citation"
"71",13.07,4,1.982834744,112,1330.38642121,14.5,72,2,"volvo 145e (sw)"
"72",6.82,4,1.72064172,70,975.2235955,14.9,79,1,"plymouth horizon tc3"
"73",9.41,4,1.900899424,81,1006.9750614,16.9,76,2,"opel 1900"
"74",7.19,6,2.753026752,132,1319.9537967,11.4,80,3,"datsun 280-zx"
"75",13.29,6,3.785411784,165,1562.62571465,13.4,78,1,"buick regal sport coupe (turbo)"
"76",15.68,8,5.211086352,150,1713.21838149,12.5,73,1,"dodge coronet custom"
"77",6.19,4,1.72064172,63,963.88378625,14.7,82,1,"plymouth horizon miser"
"78",12.38,3,1.14709448,97,1056.8702221,13.5,72,3,"mazda rx2 coupe"
"79",18.09,8,5.7354724,145,1839.31706035,12,76,1,"chevy c10"
"80",5.05,4,1.409287504,65,957.0799007,17.9,80,3,"mazda glc"
"81",18.09,8,5.211086352,150,1703.23934935,14,76,1,"dodge d100"
"82",10.94,3,1.31096512,110,1233.7712464,13.5,77,3,"mazda rx-4"
"83",10.94,4,1.982834744,110,1179.340162,12.8,77,2,"bmw 320i"
"84",8.28,4,2.474446664,90,1211.0916279,16,79,1,"buick skylark limited"
"85",14.7,8,4.981667456,150,1557.18260621,12,70,1,"amc rebel sst"
"86",8.11,4,2.21225364,84,1145.32073425,16,82,1,"dodge aries se"
"87",13.07,6,3.801798848,100,1335.82952965,16,73,1,"amc hornet"
"88",9.41,4,2.29418896,75,1153.03180454,17,74,1,"chevrolet vega"
"89",16.8,8,5.211086352,150,1857.91434752,13,71,1,"plymouth fury iii"
"90",15.68,8,7.030050456,198,1969.04447817,10,70,1,"ford galaxie 500"
"91",13.07,6,4.096766,78,1621.13913038,21,76,1,"ford granada ghia"
"92",14.52,6,2.671091432,133,1546.7499817,15.8,78,2,"peugeot 604sl"
"93",7.47,4,1.605932272,68,927.59639665,18.5,77,3,"honda accord cvcc"
"94",8.71,4,1.589545208,60,831.88840658,19,71,2,"volkswagen model 111"
"95",8.84,8,5.7354724,105,1689.63157825,19,81,1,"oldsmobile cutlass ls"
"96",7.84,4,2.21225364,84,1081.81780245,12.9,81,1,"plymouth reliant"
"97",15.68,8,5.7354724,145,1851.56405434,13,73,1,"chevrolet monte carlo s"
"98",19.6,8,5.7354724,160,2021.20760072,13.5,72,1,"oldsmobile delta 88 royale"
"99",9.41,4,1.80257704,87,1211.99881264,17.5,70,2,"peugeot 504"
"100",8.71,4,1.589545208,88,966.1517481,14.5,70,3,"datsun pl510"
"101",7.28,4,1.589545208,67,936.66824405,17.8,81,3,"subaru"
"102",6.46,5,1.982834744,67,1338.0974915,19.9,80,2,"audi 5000s (diesel)"
"103",9.05,4,1.605932272,90,1027.38671805,15.5,73,2,"fiat 124 sport coupe"
"104",10.23,8,5.7354724,125,1769.010243,17.4,79,1,"cadillac eldorado"
"105",18.09,8,5.211086352,150,1787.1539378,13.2,76,1,"plymouth volare premier v8"
"106",14.7,6,4.096766,100,1486.87578886,18,73,1,"chevrolet nova custom"
"107",9.05,4,1.982834744,113,1013.32535458,12.5,70,2,"bmw 2002"
"108",15.68,8,6.276245512,170,1616.14961431,10,70,1,"dodge challenger se"
"109",13.44,8,4.99805452,145,1759.9383956,12.5,77,1,"chevrolet caprice classic"
"110",11.64,6,3.801798848,90,1480.97908805,18.2,79,1,"amc concord dl 6"
"111",19.6,8,6.276245512,180,2247.55019335,11.5,71,1,"dodge monaco (sw)"
"112",16.8,8,5.57160176,160,1637.01486333,8,70,1,"plymouth 'cuda 340"
"113",13.84,6,3.785411784,110,1772.18538959,21,75,1,"buick century"
"114",11.82,8,4.26063664,110,1526.33832505,15.5,78,1,"oldsmobile cutlass salon brougham"
"115",5.46,4,1.47483576,48,900.38085445,21.5,78,2,"volkswagen rabbit custom diesel"
"116",9.84,4,1.950060616,97,1090.88964985,14.9,78,3,"datsun 200-sx"
"117",7.97,4,1.605932272,68,968.41970995,16.6,78,3,"honda accord lx"
"118",9.05,4,1.294578056,67,890.40182231,15.5,74,2,"volkswagen dasher"
"119",18.09,8,5.751859464,158,1979.02351031,13,73,1,"ford ltd"
"120",11.76,6,3.801798848,100,1321.76816618,16,75,1,"amc gremlin"
"121",11.2,4,2.29418896,72,1089.07528037,19.5,73,1,"chevrolet vega"
"122",16.8,8,5.7354724,165,1909.17028533,12,71,1,"chevrolet impala"
"123",9.8,4,1.753415848,90,1102.2294591,14.5,70,2,"audi 100 ls"
"124",9.05,4,1.769802912,93,1084.53935667,15.5,74,3,"subaru"
"125",18.09,8,6.5548256,190,2005.78546014,12.5,72,1,"chrysler newport royal"
"126",6.53,4,1.294578056,58,827.80607525,18.6,77,2,"renault 5 gtl"
"127",8.4,4,1.47483576,75,963.88378625,14.5,74,1,"dodge colt"
"128",12.38,6,3.801798848,100,1315.87146537,16,74,1,"amc hornet"
"129",10.23,4,1.88451236,95,1221.97784478,15,75,2,"audi 100ls"
"130",6.9,4,1.491222824,68,900.38085445,16,81,3,"mazda glc 4"
"131",9.41,4,1.47483576,71,1008.33583851,16.5,75,2,"volkswagen dasher"
"132",8.71,4,2.29418896,86,1265.5227123,15.6,82,1,"ford mustang gl"
"133",15.68,8,5.211086352,150,1875.60444995,13.5,72,1,"plymouth fury iii"
"134",11.2,4,1.96644768,87,1351.25167023,19.5,72,2,"peugeot 504 (sw)"
"135",6.36,4,1.39290044,65,895.84493075,19.4,81,3,"datsun 210 mpg"
"136",21.38,8,5.7354724,180,1661.96244368,11,73,1,"oldsmobile omega"
"137",11.76,6,2.556381984,122,1273.23378259,13.5,73,3,"toyota mark ii"
"138",10.69,6,3.801798848,112,1285.93436895,14.7,82,1,"ford granada l"
"139",12.38,4,1.982834744,112,1300.90291716,15.5,73,2,"volvo 144ea"
"140",9.8,4,1.950060616,97,1154.39258165,17,75,3,"datsun 710"
"141",7.71,4,1.605932272,63,930.31795087,17,77,1,"chevrolet chevette"
"142",8.58,4,1.982834744,80,1211.0916279,15,79,1,"amc spirit dl"
"143",7.02,4,1.605932272,83,941.20416775,15.9,77,1,"dodge colt m/m"
"144",6.53,4,1.72064172,74,898.1128926,15.3,82,2,"volkswagen rabbit l"
"145",9.22,4,1.999221808,96,1043.262451,15.5,77,1,"plymouth arrow gs"
"146",11.42,6,3.6870894,110,1524.0703632,16.6,79,1,"dodge aspen 6"
"147",11.64,6,3.2774128,88,1387.9926522,17.1,81,1,"ford granada gl"
"148",14.7,6,4.096766,105,1767.64946589,18.5,75,1,"chevroelt chevelle malibu"
"149",16.8,8,7.45611412,225,2007.14623725,10,70,1,"pontiac catalina"
"150",19.6,8,5.7354724,180,2040.71207263,12.5,73,1,"oldsmobile vista cruiser"
"151",7.37,4,1.458448696,71,873.16531225,14,79,2,"vw rabbit custom"
"152",13.07,3,1.14709448,90,963.43019388,13.5,73,3,"maxda rx3"
"153",6.36,4,1.950060616,92,1104.04382858,15,80,3,"datsun 510 hatchback"
"154",8.84,4,2.474446664,84,1195.21589495,16.4,81,1,"buick skylark"
"155",14.26,8,5.751859464,138,1793.95782335,13.2,79,1,"mercury grand marquis"
"156",6.72,4,1.179868608,69,731.64449281,18,71,3,"datsun 1200"
"157",5.77,4,1.39290044,65,957.0799007,19.2,80,3,"datsun 210"
"158",7.3,4,1.769802912,75,1027.38671805,15.2,80,3,"toyota corolla"
"159",11.2,6,2.53999492,107,1121.28033864,14,73,1,"mercury capri v6"
"160",11.76,4,2.13031832,102,1428.8159655,15.7,76,2,"volvo 245"
"161",11.47,6,3.785411784,105,1553.55386725,16.9,77,1,"buick skylark"
"162",7.17,4,1.278190992,52,900.38085445,19.4,78,3,"mazda glc deluxe"
"163",12.71,6,4.096766,110,1653.34418865,16.2,76,1,"pontiac ventura sj"
"164",7.35,4,2.359737216,96,1208.82366605,13.9,82,3,"toyota celica gt"
"165",7.61,4,1.72064172,75,1011.5109851,14.5,78,1,"dodge omni"
"166",12.71,6,4.096766,98,1598.91310425,19,77,1,"ford granada"
"167",21.38,8,7.030050456,208,2101.49345021,11,72,1,"mercury marquis"
"168",8.4,4,1.589545208,75,977.49155735,16.4,76,3,"toyota corolla"
"169",15.68,8,6.39095496,190,1746.3306245,8.5,70,1,"amc ambassador dpl"
"170",13.07,6,3.6870894,105,1638.82923281,16.5,74,1,"plymouth satellite sebring"
"171",13.07,6,4.096766,105,1568.97600783,16,75,1,"chevrolet nova"
"172",6.19,4,1.491222824,67,904.91677815,16.2,82,3,"datsun 310 gx"
"173",7.33,4,1.605932272,70,961.6158244,15.5,80,1,"chevrolet chevette"
"174",11.2,6,3.785411784,110,1378.46721243,15,75,1,"buick skyhawk"
"175",7.4,4,1.39290044,65,916.2565874,19.2,79,3,"datsun 210"
"176",6.88,4,1.72064172,70,997.903214,13.2,79,1,"plymouth horizon"
"177",8.11,4,1.589545208,75,984.74903527,16,75,3,"toyota corolla"
"178",10.23,4,1.96644768,88,1341.27263809,17,75,2,"peugeot 504"
"179",7.89,4,1.458448696,62,836.87792265,15.3,80,2,"vokswagen rabbit"
"180",7.35,4,1.360126312,61,908.54551711,19,74,3,"datsun 710"
"181",10.45,6,3.801798848,90,1399.33246145,17.6,76,1,"amc hornet"
"182",15.68,6,4.227862512,110,1691.8995401,19,75,1,"amc matador"
"183",21.38,8,6.5548256,150,2266.60107289,14,73,1,"chevrolet impala"
"184",7.59,4,1.163481544,65,804.21927201,19,71,3,"toyota corolla 1200"
"185",16.8,8,5.211086352,150,1849.29609249,14,72,1,"plymouth satellite custom (sw)"
"186",15.68,8,5.7354724,165,1675.11662241,11.5,70,1,"buick skylark 320"
"187",10.23,4,1.999221808,86,1006.9750614,14,71,1,"mercury capri 2000"
"188",9.41,6,2.966058584,110,1335.82952965,16.4,82,1,"buick century limited"
"189",11.76,6,3.244638672,95,1407.04353174,16.5,74,1,"plymouth duster"
"190",6.52,4,1.491222824,60,816.466266,16.4,78,3,"honda civic cvcc"
"191",18.09,8,6.5548256,175,2331.4647818,12,71,1,"pontiac safari (sw)"
"192",5.67,4,1.605932272,76,972.50204128,14.7,80,2,"vw rabbit"
"193",13.84,8,4.981667456,150,1665.59118264,11.5,72,1,"amc ambassador sst"
"194",11.64,8,4.948893328,139,1619.3247609,12.8,78,1,"mercury monarch ghia"
"195",8.4,4,1.753415848,86,1117.65159968,15.5,76,2,"fiat 131"
"196",8.4,4,1.605932272,80,981.57388868,15,72,1,"dodge colt (sw)"
"197",18.09,8,5.7354724,150,2131.43054663,14.5,74,1,"buick century luxus (sw)"
"198",13.44,8,5.211086352,140,1850.6568696,13.7,78,1,"dodge magnum xe"
"199",6.53,4,1.753415848,75,1000.17117585,14.5,82,3,"honda accord"
"200",7.89,4,2.195866576,90,1229.68891507,15.5,80,3,"toyota corona liftback"
"201",7.87,4,1.605932272,65,1079.5498406,20.7,81,1,"ford escort 2h"
"202",11.76,4,1.589545208,88,1033.73701123,19,73,3,"toyota carina"
"203",12.38,6,2.556381984,108,1329.0256441,15.5,76,3,"toyota mark ii"
"204",18.09,8,6.5548256,170,2152.74938802,12,71,1,"ford country squire (sw)"
"205",8.71,4,1.655093464,83,998.81039874,15.3,76,2,"renault 12tl"
"206",7.02,4,2.474446664,90,1159.38209772,13.2,79,1,"pontiac phoenix"
"207",11.76,8,4.293410768,110,1461.02102377,13.5,75,1,"chevrolet monza 2+2"
"208",8.4,4,2.474446664,90,1214.72036686,16.5,80,1,"chevrolet citation"
"209",6.92,4,1.835351168,88,1086.35372615,18,82,1,"chevrolet cavalier 2-door"
"210",18.09,8,5.7354724,145,1808.92637156,13,73,1,"chevrolet malibu"
"211",12.38,4,1.96644768,88,1483.2470499,21.9,76,2,"peugeot 504"
"212",7.59,4,1.294578056,67,907.18474,16,74,2,"fiat x1.9"
"213",7.59,4,1.491222824,68,893.5769689,17.6,82,3,"mazda glc custom"
"214",16.8,8,4.948893328,137,1833.42035954,14.5,73,1,"ford gran torino"
"215",13.07,8,5.211086352,150,1558.54338332,11,70,1,"plymouth satellite"
"216",6.36,4,1.491222824,68,918.52454925,18.2,82,3,"mazda glc custom l"
"217",9.8,4,1.851738232,95,1033.28341886,15.5,72,3,"toyota corona hardtop"
"218",18.09,8,7.21030816,215,2147.75987195,11,73,1,"chrysler new yorker brougham"
"219",10.23,4,2.29418896,83,1197.03026443,17,75,1,"ford pinto"
"220",12.71,8,5.89934304,150,1787.1539378,13,79,1,"chrysler lebaron town @ country (sw)"
"221",8.4,4,1.900899424,90,962.97660151,14,71,2,"opel 1900"
"222",6.53,4,1.96644768,88,979.7595192,14.5,82,3,"nissan stanza xe"
"223",10.23,4,1.96644768,97,1136.70247922,14.5,72,3,"toyouta corona mark ii (sw)"
"224",9.22,4,2.29418896,89,1249.64697935,15.8,77,1,"ford mustang ii 2+2"
"225",7.66,6,2.37612428,76,1433.3518892,19.6,81,2,"volvo diesel"
"226",9.41,4,1.851738232,95,1010.60380036,14,71,3,"toyota corona"
"227",14.7,8,5.211086352,150,2040.25848026,14.5,75,1,"plymouth grand fury"
"228",7.84,4,1.589545208,67,900.38085445,16.4,77,3,"subaru dl"
"229",7.59,4,1.294578056,67,884.5051215,19,74,3,"datsun b210"
"230",14.7,6,4.227862512,110,1647.44748784,18,74,1,"amc matador"
"231",12.38,6,4.096766,88,1497.76200574,15.5,71,1,"ford torino 500"
"232",7.84,4,1.294578056,70,940.75057538,19.5,71,2,"peugeot 304"
"233",16.22,8,5.751859464,152,1911.89183955,12.8,76,1,"ford gran torino"
"234",7.13,4,1.491222824,53,814.19830415,17.4,76,3,"honda civic"
"235",12.38,6,3.801798848,100,1194.76230258,13,71,1,"amc gremlin"
"236",9.05,4,2.556381984,92,1172.53627645,14.5,82,1,"chrysler lebaron medallion"
"237",9.72,6,2.392511344,120,1329.0256441,13.8,81,3,"datsun 810 maxima"
"238",13,6,4.227862512,120,1546.7499817,15.1,78,1,"amc concord d/l"
"239",11.47,6,3.6870894,100,1555.8218291,17.2,78,1,"plymouth volare"
"240",6.53,4,2.21225364,84,1075.0139169,13,82,1,"dodge charger 2.2"
"241",16.8,8,6.5548256,175,2024.83633968,11.5,71,1,"pontiac catalina brougham"
"242",7.35,4,1.163481544,65,832.79559132,21,74,3,"toyota corolla 1200"
"243",16.8,8,5.751859464,148,2112.37966709,13.5,75,1,"ford ltd"
"244",6.7,4,1.327352184,60,798.3225712,16.1,81,3,"honda civic 1300"
"245",13.44,6,4.227862512,95,1448.32043741,17.8,76,1,"amc pacer d/l"
"246",12.25,6,3.785411784,105,1603.44902795,19.2,78,1,"pontiac phoenix lj"
"247",6.98,4,1.753415848,75,1002.4391377,14.4,81,3,"honda prelude"
"248",8.4,4,1.835351168,88,1181.60812385,19.6,82,1,"chevrolet cavalier"
"249",7.13,4,1.491222824,53,814.19830415,17.5,75,3,"honda civic cvcc"
"250",8.11,4,1.39290044,52,923.06047295,22.2,76,1,"chevrolet chevette"
"251",8.65,4,2.21225364,84,1129.4450013,15.7,81,1,"plymouth reliant"
"252",14.7,8,6.5548256,180,1914.1598014,11.1,77,1,"pontiac grand prix lj"
"253",9.05,4,1.589545208,78,1043.262451,14.5,74,2,"opel manta"
"254",9.26,5,2.998832712,77,1601.1810661,20.1,79,2,"mercedes benz 300d"
"255",10.69,6,3.6870894,100,1466.46413221,15.4,76,1,"plymouth valiant"
"256",16.8,8,4.981667456,150,1665.59118264,11.5,73,1,"amc matador"
"257",12.38,6,3.6870894,95,1480.52549568,16,75,1,"plymouth valiant custom"
"258",18.09,8,5.89934304,170,2111.01888998,13,73,1,"plymouth custom suburb"
"259",6.24,4,1.458448696,62,929.8643585,17.3,81,3,"toyota tercel"
"260",8.4,4,2.29418896,90,1026.93312568,15.5,71,1,"chevrolet vega 2300"
"261",26.13,8,4.981667456,193,2146.39909484,18.5,70,1,"hi 1200d"
"262",18.09,8,6.5548256,150,2024.83633968,12,73,1,"chevrolet caprice classic"
"263",12.65,6,3.6870894,110,1642.0043794,18.7,78,1,"dodge aspen"
"264",13.07,6,3.6870894,95,1716.84712045,19,75,1,"plymouth fury"
"265",9.6,4,1.605932272,60,981.57388868,22.1,76,1,"chevrolet woody"
"266",7.13,4,1.72064172,74,993.3672903,14.2,81,2,"volkswagen jetta"
"267",6.19,4,1.491222824,67,891.30900705,15,82,3,"honda civic"
"268",8.71,4,1.589545208,88,952.543977,16.5,72,3,"toyota corolla 1600 (sw)"
"269",7.84,4,1.818964104,80,977.49155735,14.8,77,1,"buick opel isuzu deluxe"
"270",16.8,8,5.211086352,150,1921.87087169,14.5,73,1,"plymouth fury gran sedan"
"271",13.84,8,4.948893328,140,1564.44008413,10.5,70,1,"ford torino"
"272",15.18,8,5.751859464,142,1838.86346798,14.3,79,1,"ford country squire (sw)"
"273",5.97,4,1.39290044,70,938.9362059,18.6,78,3,"datsun b210 gx"
"274",7.26,4,1.753415848,72,1038.7265273,17,80,3,"honda accord"
"275",16.8,8,4.981667456,150,1930.94271909,15.5,74,1,"amc matador (sw)"
"276",9.41,4,1.59773874,80,964.33737862,17,72,1,"dodge colt hardtop"
"277",5.27,4,1.491222824,67,839.1458845,13.8,80,3,"honda civic 1500 gl"
"278",10.89,4,1.982834744,115,1267.79067415,15.7,78,2,"saab 99gle"
"279",9.05,4,1.605932272,79,1022.85079435,17.7,76,1,"dodge colt"
"280",13.44,6,4.096766,110,1596.6451424,16.4,77,1,"chevrolet concours"
"281",6.59,4,1.605932272,80,868.62938855,14.4,79,1,"dodge colt hatchback custom"
"282",15.68,8,6.5548256,150,1705.96090357,9.5,70,1,"chevrolet monte carlo"
"283",15.68,6,4.096766,100,1513.18414632,17,74,1,"chevrolet nova"
"284",13.92,8,5.7354724,155,1977.6627332,14.9,79,1,"buick estate wagon (sw)"
"285",9.8,4,2.29418896,92,1299.54214005,16.4,82,1,"ford fairmont futura"
"286",11.76,6,3.6870894,100,1656.06574287,17.7,76,1,"dodge aspen se"
"287",16.8,8,6.5548256,175,1989.00254245,12,72,1,"pontiac catalina"
"288",11.59,5,2.146705384,103,1283.6664071,15.9,78,2,"audi 5000"
"289",6.72,4,1.999221808,88,1133.980925,15.1,80,2,"triumph tr7 coupe"
"290",13.07,6,3.801798848,100,1265.06911993,15,73,1,"amc gremlin"
"291",16.8,8,5.751859464,153,1884.22270498,13.5,71,1,"ford galaxie 500"
"292",5.42,4,1.47483576,48,1059.13818395,23.7,80,2,"vw dasher (diesel)"
"293",9.05,4,1.900899424,75,1018.76846302,14,74,2,"fiat 124 tc"
"294",9.68,4,2.474446664,90,1362.13788711,20.1,80,1,"amc concord"
"295",8.11,4,1.605932272,83,1006.52146903,16.5,74,2,"audi fox"
"296",13.07,6,4.227862512,110,1343.54059994,13.5,71,1,"amc hornet sportabout (sw)"
"297",15.18,8,5.211086352,145,1877.8724118,13.7,77,1,"dodge monaco brougham"
"298",9.41,4,1.982834744,115,1211.54522027,13.5,75,2,"saab 99le"
"299",7.02,4,1.39290044,70,882.23715965,16.8,77,3,"datsun f-10 hatchback"
"300",13.36,8,4.948893328,129,1689.63157825,13.4,79,1,"ford ltd landau"
"301",13,8,4.948893328,139,1453.76354585,11.2,78,1,"ford futura"
"302",8.88,4,2.29418896,72,1163.46442905,13.6,76,1,"ford pinto"
"303",13.84,8,4.26063664,110,1841.5850222,19,77,1,"oldsmobile cutlass supreme"
"304",14.7,8,5.211086352,150,1900.5520303,13,76,1,"dodge coronet brougham"
"305",9.05,4,1.589545208,46,832.34199895,20.5,70,2,"volkswagen 1131 deluxe sedan"
"306",9.6,4,2.474446664,88,1242.8430938,16,77,1,"pontiac sunbird coupe"
"307",10.01,6,2.834962072,110,1236.03920825,12.6,81,1,"chevrolet citation"
"308",19.6,8,7.030050456,198,2246.18941624,11.5,73,1,"mercury marquis brougham"
"309",14.7,6,4.096766,100,1715.03275097,17,74,1,"chevrolet chevelle malibu classic"
"310",13.07,6,3.261025736,97,1258.26523438,15.5,70,1,"amc hornet"
"311",13.07,8,5.030828648,130,1589.38766448,12,70,1,"chevrolet chevelle malibu"
"312",10.23,6,3.244638672,95,1317.23224248,16,73,1,"plymouth duster"
"313",9.84,8,4.26063664,90,1551.2859054,22.2,79,1,"oldsmobile cutlass salon brougham"
"314",11.88,6,3.2774128,85,1356.2411863,18.2,79,1,"mercury zephyr 6"
